"ID";"DTM";"P";"T";"RM"
"HRADISTE";1935-02-15;34.43;-2.174;16.639
"HRADISTE";1935-03-15;36.47;-0.71;19.376
"HRADISTE";1935-04-15;38.55;5.583;29.269
"HRADISTE";1935-05-15;37.88;8.898;15.836
"HRADISTE";1935-06-15;182.38;16.029;38.833
"HRADISTE";1935-07-15;53.76;16.156;15.745
"HRADISTE";1935-08-15;116.81;15.03;16.806
"HRADISTE";1935-09-15;29.33;12.17;8.37
"HRADISTE";1935-10-15;38.98;7.967;6.737
"HRADISTE";1935-11-15;45.31;1.855;8.063
"HRADISTE";1935-12-15;48.99;-3.399;9.985
"HRADISTE";1936-01-15;53.91;-1.552;13.663
"HRADISTE";1936-02-15;78.41;-2.848;14.609
"HRADISTE";1936-03-15;47.44;2.581;47.403
"HRADISTE";1936-04-15;142.59;5.889;88.031
"HRADISTE";1936-05-15;105.72;11.082;48.364
"HRADISTE";1936-06-15;38.32;13.743;30.656
"HRADISTE";1936-07-15;83.54;16.231;25.723
"HRADISTE";1936-08-15;60.52;14.127;18.448
"HRADISTE";1936-09-15;59.06;11.314;14.065
"HRADISTE";1936-10-15;124.91;4.31;25.761
"HRADISTE";1936-11-15;24.49;0.241;19.333
"HRADISTE";1936-12-15;51.08;-2.794;19.481
"HRADISTE";1937-01-15;44.46;-5.752;16.116
"HRADISTE";1937-02-15;40.78;-1.424;19.01
"HRADISTE";1937-03-15;20.03;2.029;34.682
"HRADISTE";1937-04-15;61.36;5.701;37.952
"HRADISTE";1937-05-15;138.54;13.099;43.464
"HRADISTE";1937-06-15;173.22;15.345;56.566
"HRADISTE";1937-07-15;166.67;15.732;56.337
"HRADISTE";1937-08-15;67.36;15.467;28.473
"HRADISTE";1937-09-15;64.9;11.925;21.634
"HRADISTE";1937-10-15;116.24;7.79;42.435
"HRADISTE";1937-11-15;22.48;1.028;27.097
"HRADISTE";1937-12-15;53.72;-3.71;24.54
"HRADISTE";1938-01-15;39.45;-2.409;23.866
"HRADISTE";1938-02-15;64.5;-2.015;23.491
"HRADISTE";1938-03-15;59.08;4.475;71.08
